ID,T1,T2,rep,start_date,death_date,days_to_death,OC_inf,OC_spores,HT_inf,HT_spores,total_offspring
78,N,HT,12,25/01/2022,23/04/2022,88,,,0,,321
79,N,N,7,25/01/2022,30/04/2022,95,,,,,391
80,N,N,8,25/01/2022,07/03/2022,41,,,,,180
81,N,N,9,25/01/2022,02/05/2022,97,,,,,398
82,OC,HT,7,25/01/2022,15/03/2022,49,1,807,0,,102
83,OC,HT,8,25/01/2022,26/02/2022,32,0,,1,0,98
84,OC,HT,9,25/01/2022,26/02/2022,32,1,253,1,5000,140
85,OC,HT,10,25/01/2022,27/02/2022,33,1,150,0,,112
86,OC,HT,11,25/01/2022,27/02/2022,33,1,438,1,8000,121
87,OC,HT,12,25/01/2022,01/03/2022,35,1,784,1,9000,158
88,HT,OC,7,25/01/2022,28/02/2022,34,1,29,0,,160
89,HT,OC,8,25/01/2022,09/03/2022,43,1,1669,1,126000,170
90,HT,OC,9,25/01/2022,04/03/2022,38,1,712,1,124000,152
91,HT,OC,10,25/01/2022,11/03/2022,45,0,,1,160000,213
92,HT,OC,11,25/01/2022,01/03/2022,35,1,593,1,31000,159
93,HT,OC,12,25/01/2022,02/03/2022,36,0,,1,21000,124
94,both,N,7,25/01/2022,19/03/2022,53,1,125,1,115000,121
95,both,N,8,25/01/2022,01/03/2022,35,1,1724,1,66000,79
96,both,N,9,25/01/2022,26/02/2022,32,0,,1,10000,82
97,both,N,10,25/01/2022,13/03/2022,47,1,472,1,92000,163
98,both,N,11,25/01/2022,27/02/2022,33,1,1389,0,,133
99,both,N,12,25/01/2022,27/02/2022,33,1,549,0,,160
100,N,both,7,25/01/2022,28/02/2022,34,1,633,1,9000,119
101,N,both,8,25/01/2022,09/03/2022,43,1,877,1,89000,158
102,N,both,9,25/01/2022,28/02/2022,34,1,62,0,,159
103,N,both,10,25/01/2022,26/02/2022,32,1,381,1,24000,173
104,N,both,11,25/01/2022,27/02/2022,33,1,331,1,21000,184
105,N,both,12,25/01/2022,27/02/2022,33,1,1429,1,39000,177
106,N,N,10,25/01/2022,08/03/2022,42,,,,,175
107,N,N,11,25/01/2022,28/02/2022,34,,,,,163
108,N,N,12,25/01/2022,15/04/2022,80,,,,,337
109,OC,N,13,25/01/2022,02/03/2022,36,1,19,,,77
110,OC,N,14,25/01/2022,23/04/2022,88,0,,,,312
111,OC,N,15,25/01/2022,24/02/2022,30,1,1400,,,114
112,OC,N,16,25/01/2022,25/04/2022,90,1,108,,,161
113,OC,N,17,25/01/2022,27/02/2022,33,1,82,,,158
114,OC,N,18,25/01/2022,24/02/2022,30,1,775,,,157
115,HT,N,13,25/01/2022,24/03/2022,58,,,1,3330000,186
116,HT,N,14,25/01/2022,02/05/2022,97,,,0,,396
117,HT,N,15,25/01/2022,03/04/2022,68,,,1,5755000,219
118,HT,N,16,25/01/2022,11/05/2022,106,,,0,,575
119,HT,N,17,25/01/2022,07/03/2022,41,,,1,430000,171
120,HT,N,18,25/01/2022,31/03/2022,65,,,,,
121,N,OC,13,25/01/2022,03/04/2022,68,1,0,,,201
122,N,OC,14,25/01/2022,26/02/2022,32,1,,,,143
123,N,OC,15,25/01/2022,30/04/2022,95,1,220,,,170
124,N,OC,16,25/01/2022,03/03/2022,37,1,684,,,183
125,N,OC,17,25/01/2022,08/03/2022,42,1,10,,,188
126,N,OC,18,25/01/2022,03/03/2022,37,1,547,,,177
127,N,HT,13,25/01/2022,17/03/2022,51,,,1,429000,179
128,N,HT,14,25/01/2022,10/03/2022,44,,,1,114000,173
129,N,HT,15,25/01/2022,02/03/2022,36,,,1,17000,37
130,N,HT,16,25/01/2022,26/02/2022,32,,,1,1000,171
131,N,HT,17,25/01/2022,26/02/2022,32,,,1,8000,169
132,N,HT,18,25/01/2022,12/02/2022,18,,,0,,53
133,N,N,13,25/01/2022,08/05/2022,103,,,,,418
134,N,N,14,25/01/2022,,,,,,,
135,N,N,15,25/01/2022,14/04/2022,79,,,,,411
136,OC,HT,13,25/01/2022,08/03/2022,42,0,,1,46000,
137,OC,HT,14,25/01/2022,03/03/2022,37,1,234,1,30000,158
138,OC,HT,15,25/01/2022,01/03/2022,35,1,934,1,52000,156
139,OC,HT,16,25/01/2022,25/02/2022,31,1,124,1,16000,93
140,OC,HT,17,25/01/2022,02/03/2022,36,1,81,0,,99
141,OC,HT,18,25/01/2022,02/03/2022,36,1,311,1,26000,120
142,HT,OC,13,25/01/2022,28/02/2022,34,1,921,1,31000,171
143,HT,OC,14,25/01/2022,07/03/2022,41,0,,1,47000,173
144,HT,OC,15,25/01/2022,24/03/2022,58,1,469,1,780000,134
145,HT,OC,16,25/01/2022,28/02/2022,34,0,,1,1000,129
146,HT,OC,17,25/01/2022,27/02/2022,33,1,0,0,,126
147,HT,OC,18,25/01/2022,27/02/2022,33,1,153,1,6000,164
148,both,N,13,25/01/2022,26/02/2022,32,0,,1,9000,129
